,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price
28590,20326,Women,Apparel,Topwear,Tops,Yellow,Summer,2011.0,Casual,Mother Earth Women Printed Yellow Top,1647.99
20919,54557,Women,Apparel,Topwear,Kurtas,Purple,Summer,2012.0,Ethnic,Global Desi Women Purple & White Kurta,2173.49
23883,3705,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Classic Polo Men Pink Black Stripes T-shirt,280.99
37799,56521,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Streetwear Satin Smooth Pink Rush Lipcolor 65,1107.5
27574,54546,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Lino Perros Women Blue Handbag,2594.5
42062,23250,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Formal Black Shoes,1688.25
43941,17203,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Green Polo Tshirt,1288.75
1570,20202,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Wrangler Men Glow Grey Sweatshirt,168.99
13238,40040,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,ADIDAS Men Dark Grey Polo T-shirt,1977.0
39751,15733,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Air Max Quarter Black Sports Shoes,2705.95
27170,29116,Men,Accessories,Socks,Socks,Black,Summer,2012.0,Casual,Puma Men Foundation Quarters Black Socks,130.0
40186,13261,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Palm Tree Kids Girl Washed Blue Jeans,1550.0
14417,27317,Women,Personal Care,Fragrance,Perfume and Body Mist,Orange,Spring,2017.0,Casual,ADIDAS Women Fresh Escape Perfume,2689.5
19992,41828,Women,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Skechers Women Black Shoes,448.99
33421,26869,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Jealous 21 Women Printed Green T-shirt,518.85
10941,18974,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Blue Shirt,52.99
1850,12757,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Spykar Men Printed Blue T-Shirts,1718.75
37317,40622,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012.0,Ethnic,Span Women Floral Printed Pink Kurta,1606.99
1900,37848,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Hidekraft Men Black Wallet,1497.5
4892,56614,Women,Personal Care,Makeup,Highlighter and Blush,Peach,Spring,2017.0,,Streetwear True Color Peachy Sheen Blusher,1999.49
22661,10004,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011.0,Sports,Nike Men As 7 Sw Temp Grey Shorts,499.25
29965,39256,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018.0,Casual,Red Chief Men Brown Formal Shoes,2853.49
2385,28095,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,Jockey MC Men Grey Melange Y Front Briefs 8003,1740.0
26954,57908,Women,Accessories,Socks,Socks,White,Summer,2017.0,Casual,Fruit of the Loom Women White Pack of Three Socks,949.75
15232,47495,Unisex,Footwear,Sandal,Sandals,Grey,Fall,2012.0,Casual,Footfun Kids Unisex Grey Sandals,1257.5
12732,16865,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Women Funky Eyewear Black Sunglasses,19.99
36775,28908,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,BIBA Women Printed Red Kurta,921.95
25663,10830,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men White Polo Tshirts,1012.49
28501,9973,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Sports,Nike Men As Arsenal Co White Sweatshirts,1827.9
26794,22158,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Casual,Lee Cooper Men Brown Casual Shoes,861.95
43071,5219,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015.0,Casual,Wildcraft Unisex Corporate Black Backpack,782.5
898,10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015.0,Casual,Clarks Women Brown Leather Heels,2107.0
27661,36790,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Attivo Watch,1155.49
14815,5766,Women,Apparel,Bottomwear,Jeans,Black,Summer,2011.0,Casual,Jealous 21 Women Black Jegging,2245.5
5522,28297,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Fastrack Men Black Sunglasses,2390.95
14632,40688,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Numero Uno Men Black Formal Shoes,919.95
5215,36702,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Yves Saint Laurent Men Kouros Perfume,1747.85
14073,45764,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017.0,Casual,Lomani Women Deo,1336.9
34453,50487,Men,Apparel,Innerwear,Trunk,Red,Winter,2016.0,Casual,Chromozome Men Red Trunk Trunks,2687.49
42357,15993,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Turtle Check Men Blue Checked ReversibleShirt,2806.95
11081,11810,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Vishudh Women Pigment Print Green Kurtas,2713.0
39715,25360,Men,Apparel,Innerwear,Trunk,Black,Summer,2016.0,Casual,Levis Men Black & Blue Trunks,1553.49
20838,6491,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Brown Shoes,2620.25
14872,38933,Girls,Apparel,Bottomwear,Leggings,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Leggings,2471.0
33720,13517,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Chimp Men Draculla & Sons Yellow Tshirts,154.75
37959,34509,Women,Footwear,Sandal,Sports Sandals,Black,Summer,2012.0,Casual,ADIDAS Women Feather Black & Pink Sandals,2445.0
26587,53755,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Shorts,2439.99
41727,34026,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys White Printed T-shirt,800.49
10289,3817,Boys,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Disney Kids Boy's Yellow Squirrel Kidswear,501.75
10930,56530,Women,Personal Care,Lips,Lipstick,Maroon,Spring,2017.0,Casual,Streetwear Satin Smooth Miss Maroon Lipstick 10,1654.85
27836,18985,Men,Apparel,Topwear,Jackets,White,Summer,2011.0,Casual,ADIDAS Originals Men ST FB Track Top White Jacket,2268.99
3444,43968,Men,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,DKNY Men Red Delicious Men Spray Perfume,2049.99
17935,2650,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Brown Leather Bag,675.9
38647,39643,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Lotto Men White Casual Shoes,2215.0
16776,30844,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Women Printed Blue Kurta,618.49
37753,20555,Women,Accessories,Bags,Mobile Pouch,Green,Winter,2015.0,Casual,Baggit Women Auxi Hoor Green Mobile Pouch,2580.49
39709,45285,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO OUTDOOR Men Black Digital Watch S057,1332.9
38699,30950,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Fabindia Women Yellow Top,884.85
37332,17713,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Reid & Taylor Men Check Blue Shirt,2083.0
2571,49638,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Mineral Women Pink Top,1724.99
24962,30206,Men,Accessories,Socks,Socks,Black,Summer,2012.0,Casual,Nike Men Dri-Fit Support Black Socks,398.25
1278,21526,Women,Accessories,Bags,Handbags,Red,Winter,2015.0,Casual,Kiara Women Glossy Red Handbag,2426.95
33683,49301,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Casual,Arrow Men Pack of 5 Socks,1815.9
39937,29102,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Puma Men Ferrari LS Black  Wallet,904.85
41343,14683,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Basics Men Stripes Navy Blue Polo Tshirts,1094.5
18730,39500,Men,Footwear,Shoes,Sports Shoes,Green,Summer,2012.0,Sports,Nike Men Green Dunk High Sports Shoes,1686.85
43000,13269,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Palm Tree Kids Girls Printed White Tops,2200.75
18435,18822,Men,Accessories,Wallets,Wallets,Brown,Summer,2011.0,Formal,Peter England Men Statements Brown Wallet,782.85
31811,57412,Women,Apparel,Innerwear,Briefs,Pink,Winter,2015.0,Casual,Amante Women Pink Net Bikini Briefs PGTC01,648.25
30914,11800,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Vishudh Women Black Pigment Print Kurta,755.5
20834,22321,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wildcraft Women Solid White Tshirt,2696.5
19822,57718,Women,Personal Care,Lips,Lip Gloss,Gold,Spring,2017.0,Casual,Lotus Herbals Seduction Golden Mango Lip Gloss 39,688.95
37090,39242,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,Femella Women Pink Nightdress,2976.49
36772,36658,Women,Accessories,Bags,Duffel Bag,Beige,Summer,2012.0,Casual,Paridhan Women Beige Duffle Bag,1810.75
20665,56402,Women,Footwear,Shoes,Flats,Beige,Winter,2012.0,Casual,Rocia Women Beige & Gold Sandals,1026.95
35102,1798,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Domyos Men Slt Compression T-shirt,672.95
17679,53386,Unisex,Footwear,Shoes,Casual Shoes,Green,Fall,2012.0,Casual,Puma Unisex Green Limnos Casual Shoes,1351.0
27602,10636,Men,Footwear,Shoes,Casual Shoes,Green,Winter,2012.0,Casual,Carlton London Men Semi oxfords Green Casual Shoes,2861.95
7481,43480,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Woodland Men Khaki Shoes,2531.75
21051,43170,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Men Steel Watch,1563.75
35033,32295,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch,1455.0
5726,17163,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Green Check Shirt,1618.99
1121,40982,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Core White T-shirt,1489.9
33852,30305,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men I M The Captain Off White T-shirt,1118.5
3053,59059,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Global Desi Women Green Kurta,2957.99
14487,51707,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Van Heusen Men Grey Sunglasses,2357.95
6262,5945,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Blue Checked Shirt,1092.5
14886,3465,Unisex,Apparel,Apparel Set,Swimwear,Black,Fall,2010.0,Sports,ADIDAS Unisex Black White Swimming Cap,2100.0
24401,50579,Men,Apparel,Innerwear,Briefs,Charcoal,Winter,2016.0,Casual,Chromozome Men Charcoal Pack of 2 Briefs,1764.49
36540,4610,Unisex,Accessories,Bags,Backpacks,Green,Winter,2015.0,Casual,Wildcraft Unisex Green & Grey Printed Backpack,2504.49
28996,45326,Women,Footwear,Shoes,Heels,Multi,Summer,2016.0,Casual,Cobblerz Women Multi-Coloured Wedges,1005.99
13125,11049,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts,2845.49
34605,3854,Girls,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Minnie Sunshine Kidswear,1888.25
11347,6575,Men,Apparel,Topwear,Tshirts,Red,Winter,2011.0,Casual,Inkfruit Men's Baby Tomato Red T-shirt,1943.0
42260,21960,Women,Accessories,Bags,Handbags,Blue,Winter,2015.0,Casual,Murcia Women Casual Blue Handbag,685.49
32679,55549,Women,Personal Care,Makeup,Kajal and Eyeliner,Brown,Spring,2017.0,Casual,Revlon Sparkling Brown Eyeliner,2037.5
40407,57348,Women,Apparel,Innerwear,Bra,Black,Winter,2015.0,Casual,Amante Black Push-Up Bra BGMW01,1540.5
8341,12089,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,W Women Brown Printed Kurta,2565.85
6865,50454,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016.0,Casual,Chromozome Men Navy Blue Briefs,693.85
29395,33762,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Vero Moda Women Viva Pink Top,2943.0
29846,50461,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,Chromozome Men Grey & Black Pack of 2 Briefs,1312.85
17984,17653,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012.0,Casual,Converse Unisex Casual Blue Slipper,1613.25
22098,54906,Men,Apparel,Topwear,Tshirts,Multi,Summer,2012.0,Casual,Do u speak green Men Multi Coloured T-shirt,1520.95
39716,57740,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Soft Beige Daily Foundation 360,2782.0
11838,18356,Men,Accessories,Socks,Socks,Black,Fall,2011.0,Casual,Fila Men Ankel Logo Black Socks,981.99
37000,22407,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Mark Taylor Men Striped White Shirt,2945.9
1034,45400,Women,Footwear,Shoes,Flats,Maroon,Winter,2012.0,Casual,Rocia Women Maroon Sandals,898.9
35210,59566,Men,Accessories,Cufflinks,Cufflinks,Steel,Summer,2012.0,Casual,Revv Men Black Cufflinks,798.25
21964,6635,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Air Rally White Shoe,356.85
34096,21087,Men,Footwear,Sandal,Sandals,Black,Fall,2012.0,Casual,Clarks Men Black Leather Sandals,2910.0
16982,35535,Girls,Footwear,Sandal,Sandals,Orange,Summer,2012.0,Casual,Enroute Teens Orange Sandals,2780.25
39460,3345,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Executive White T-shirt,2247.0
2279,27029,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Jealous 21 Women Blue Capris,162.95
38015,59338,Women,Footwear,Shoes,Casual Shoes,Black,Winter,2012.0,Casual,Gliders Women Black &Purple Shoes,2855.0
21791,18682,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Hanes Men Black Premium Bikini Briefs,722.49
29339,19835,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Brown Shirt,901.9
12899,3634,Men,Footwear,Sandal,Sandals,Blue,Winter,2011.0,Casual,Puma Men Photon Navy Red Sandal,1086.49
7738,50869,Women,Apparel,Saree,Sarees,Red,Fall,2012.0,Ethnic,Prafful Red & Black Printed Sari,790.5
28729,4039,Unisex,Accessories,Headwear,Caps,Blue,Summer,2011.0,Sports,Puma Unisex Rajasthan Royals Military Blue Cap,58.99
36806,28306,Men,Accessories,Eyewear,Sunglasses,Green,Winter,2016.0,Casual,Fastrack Men Sunglasses,2661.5
23893,24630,Women,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,ADIDAS Women Polka Blue Flip Flops,2063.49
40859,16324,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Peter England Men Printed Navy Blue TShirt,1006.5
35317,25017,Women,Footwear,Shoes,Heels,Black,Fall,2011.0,Formal,United Colors of Benetton Women Black Ballerinas,1557.25
11180,45308,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt,170.85
27681,33024,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Mother Earth Women White Kurta,2632.99
1444,47304,Women,Accessories,Bags,Clutches,Green,Summer,2012.0,Casual,Baggit Women Green purse,2961.25
21011,19108,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts,2346.85
23622,28036,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Jockey ELANCE Men Blue Y Front Briefs 1006,2015.85
43234,24480,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Black Formal Shoes,1839.99
27061,47504,Men,Apparel,Innerwear,Innerwear Vests,Grey Melange,Summer,2016.0,Casual,Facit Men Grey Melange Innerwear Vest,1949.99
13728,32467,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men Almighty Zeus White T-shirt,815.25
18159,14076,Men,Apparel,Topwear,Shirts,Blue,Winter,2016.0,Casual,Flying Machine Men Check Blue Shirts,801.99
7155,7689,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Black Polo Neck T-shirt,2227.95
37511,57498,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Formal,Lee Cooper Men Black Shoes,2434.9
43704,11136,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Top Flow Red-213 Black Watch,2110.9
39963,21539,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Kiara Women Black Handbag,620.5
33901,10154,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Bal Brown Casual Shoes,560.0
24807,31320,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012.0,Ethnic,Aurelia Women Printed Red Kurta,1643.75
23623,8326,Boys,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Doodle Boy's Stripper Green Kidswear,964.85
44050,22746,Women,Apparel,Topwear,Kurtas,Red,Fall,2011.0,Ethnic,BIBA Women Printed Red Kurta,1175.5
30003,37307,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Youth Series Men Digital Watch W-213-1AVDF(D065),2907.95
2132,23684,Men,Accessories,Wallets,Wallets,Brown,Fall,2011.0,Casual,Newhide Brown Men Antique Wallet,741.49
40360,3549,Men,Footwear,Shoes,Casual Shoes,White,Winter,2015.0,Casual,Skechers Men's Off White Lifestyle Shoe,2103.99
15482,48489,Women,Apparel,Topwear,Tops,Peach,Summer,2012.0,Casual,French Connection Women Peach Top,8.99
15469,45396,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,Rocia Women Black & White Sandals,2915.49
34804,19413,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011.0,Casual,ADIDAS Unisex Power Blue Backpack,580.85
13701,53808,Women,Apparel,Topwear,Kurtas,Cream,Fall,2012.0,Ethnic,Ayaany Women Cream Kurta,1173.85
27942,56363,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Tommy Hilfiger Men 100 ml Perfume,1322.9
12423,26653,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Puma Men White Shoes,753.49
29161,18580,Men,Accessories,Socks,Socks,White,Summer,2010.0,Sports,Puma Men Sport Quarters Pack of 3 Socks,1722.99
41813,29907,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Genuine Leather Watch,2645.25
9048,26877,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Jealous 21 Women Printed Pink Top,702.5
2746,51892,Women,Accessories,Wallets,Wallets,Mushroom Brown,Summer,2016.0,Casual,Nyk Women Mushroom Brown Wallet,297.49
13924,35874,Boys,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Marvel Boys Comics Grey T-shirt,1008.0
18525,49822,Women,Footwear,Flip Flops,Flip Flops,Purple,Winter,2012.0,Casual,iPanema Women Purple Flip Flops,612.0
22876,22569,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Highlander Men Check Blue Shirt,1481.0
29466,21637,Women,Apparel,Innerwear,Bra,White,Summer,2014.0,Casual,Enamor Women White Bra,1523.49
2916,22356,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,John Players Men Solid White Shirt,2005.9
25834,23643,Men,Apparel,Topwear,Tshirts,Grey,Spring,2013.0,Casual,Music Men Grey Printed T-shirt,2228.95
27637,18803,Men,Accessories,Belts,Belts,Brown,Summer,2011.0,Casual,Peter England Men Casual Brown Belt,1413.85
4513,38239,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Polaroid Men Sunglasses,2456.5
4199,44770,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Globalite Men Black Skid Shoes,1183.99
29626,12881,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Provogue Men Casual Black Shoes,2717.25
13352,3292,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Guerrilla Men's Fighter Blue T-shirt,474.5
41140,33267,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Girls Blue Shorts,1995.85
40217,35902,Women,Accessories,Bags,Handbags,Navy Blue,Summer,2012.0,Casual,Peperone Women Navy Blue Handbag,2691.99
21993,10281,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Spring Leather Black Formal Shoes,705.9
21273,20041,Women,Accessories,Bags,Handbags,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Handbags,533.25
12591,20194,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,Wrangler Men Seattle Embro White Sweatshirt,1341.49
37593,28999,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Status Quo Men Printed Red T-shirt,1351.85
32861,36440,Men,Footwear,Shoes,Sports Shoes,Black,Spring,2013.0,Sports,Spinn Men Cubic Black Sports Shoes,995.49
27194,18007,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Casual,U.S. Polo Assn. Unisex Black Backpack,2467.49
7308,23591,Women,Personal Care,Fragrance,Fragrance Gift Set,Lavender,Spring,2017.0,Casual,Nike Fragrances Women Original Deo and Perfume,1673.99
21286,34441,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Myntra Women Peace Love Chocolate Yellow T-shirt,1059.75
36743,8472,Women,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers For Her Women Wow Woven Navy Blue Tops,1176.95
37329,6344,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2014.0,Casual,Converse Men Black CT Lace Color Hi Canvas Shoes,2874.25
16627,50229,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Stoln Women Black Belt,2868.99
20000,58905,Men,Accessories,Ties,Ties,Maroon,Summer,2012.0,Casual,Hakashi Men Maroon Silk Tie,137.75
17089,21931,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta,674.9
26239,5233,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Classic Polo Men's Cari Yellow Polo T-shirt,1839.99
14303,28152,Men,Apparel,Innerwear,Innerwear Vests,Grey Melange,Fall,2018.0,Casual,Jockey SPORT Men Grey Melange Innerwear Vest 9925,260.9
10458,59329,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Gliders Unisex Zoro Shoes,2798.85
7122,44656,Women,Apparel,Topwear,Shirts,Blue,Winter,2012.0,Casual,Lee Women Blue Shirt,359.9
28392,9380,Men,Footwear,Shoes,Sports Shoes,Green,Fall,2011.0,Sports,Nike Men Elite Sports Shoes,2342.95
3785,31314,Women,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,W Women Red & Blue Printed Kurta,2087.0
36860,2387,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Tape Men Casual Black Shoe,2458.9
23662,39520,Unisex,Accessories,Bags,Messenger Bag,Black,Summer,2012.0,Casual,Peter England Unisex Black Messanger Bag,2709.75
43163,21905,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,BIBA Women Printed Black Kurta,1343.49
16348,7292,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,DC Comics Men's Dist Royal Blue T-shirt,174.49
15541,38735,Unisex,Accessories,Accessories,Messenger Bag,Black,Fall,2012.0,Casual,Nike Unisex Black Messenger Bag,2302.75
4550,3561,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015.0,Casual,Skechers Men's Zeta Black Lifestyle Casual Shoe,2104.5
30243,8665,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Fastrack Unisex Army collection Brown Sunglasses,1937.75
14495,17112,Women,Accessories,Bags,Clutches,Grey,Winter,2015.0,Casual,Lino Perros Women Beaded Grey Clutch,104.25
28447,32273,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Vishudh Women Printed Green Kurta,2461.49
40062,2094,Men,Apparel,Topwear,Shirts,White,Winter,2010.0,Casual,Lee Men Checks Green Shirt,1523.5
39705,24080,Women,Footwear,Shoes,Heels,Beige,Winter,2015.0,Casual,Catwalk Women Beige Sandals,2818.85
4253,19149,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Men Solid White Polo Tshirt,1065.85
40795,51428,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Myntra Men Blue Check Shirt,2113.99
6631,51915,Women,Accessories,Bags,Handbags,Blue,Summer,2016.0,Casual,Nyk Women Ink Blue Biker Sling Bag,1959.49
32428,25253,Women,Accessories,Bags,Handbags,Orange,Summer,2012.0,Casual,Lino Perros Women Leatherette Orange Handbag,2882.99
34814,56985,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,HM Women Brown Wedges,2967.49
42248,46892,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive Men Blue Jeans,702.99
21567,28028,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Jockey ELANCE Mens Blue Brief 1005,459.25
8047,23554,Men,Personal Care,Fragrance,Perfume and Body Mist,Silver,Spring,2017.0,Casual,Police Men Wings Silver Perfume,2730.0
24414,45897,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Women Black Dial Watch,66.49
39152,29133,Women,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Vogue Women Brown Sunglasses,1701.9
18723,7518,Unisex,Accessories,Bags,Duffel Bag,Navy Blue,Summer,2011.0,Sports,Nike Unisex Brasilia 4 Navy Blue Duffle Bag,782.0
1631,59457,Women,Accessories,Jewellery,Ring,Silver,Summer,2015.0,Casual,Lucera Silver Ring,1049.99
1682,22758,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta,2668.75
15157,23540,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Classic Polo Men Black Sweatshirt,528.99
22498,20837,Men,Footwear,Sandal,Sandals,Olive,Spring,2012.0,Casual,Lee Cooper Men Casual Olive Sandals,221.75
